date,title,tags,description,author
Thursday 23 July,Keynote: Designed for Education: A Python Solution,python,"The problem of introducing children to programming and computer science has
seen growing attention in the past few years. Initiatives like Raspberry
Pi, Code Club, code.org, (and many more) have been created to help solve
this problem. With the introduction of a national computing curriculum in
the UK, teachers have been searching for a text based programming language
to help teach computational thinking as a follow on from visual languages
like Scratch.,The educational community has been served well by Python, benefiting from
its straight-forward syntax, large selection of libraries, and supportive
community. Education-focused summits are now a major part of most major
Python Conferences. Assistance in terms of documentation and training is
invaluable, but perhaps there are technical means of improving the
experience of those using Python in education. Clearly the needs of
teachers and their students are different to those of the seasoned
programmer. Children are unlikely to come to their teachers with
frustrations about the Global Interpreter Lock! But issues such as
usability of IDEs or comprehensibility of error messages are of utmost
importance.,In this keynote, Carrie Anne will discuss existing barriers to Python
becoming the premier language of choice for teaching computer science, and
how learning Python could be helped immensely through tooling and further
support from the Python developer community.",Carrie Anne Philbin
Wednesday 22 July,A Pythonic Approach to Continuous Delivery,"Operations,ApplicationLifecycle,ConfigurationManagement,Devpi,ContinuousDelivery,DevOps,ansible,Jenkins","Software development is all about writing code that delivers additional value to a customer. Following the agile and lean approach this value created by code changes should be continuously delivered as fast, as early and as often as possible without any compromise on the quality. 
Remarkably, there is a huge gap between the development of the application code and the reliable and scalable operation of the application. As an example, most of the tutorials about web development with Flask or Django end by starting a local “dummy” server, missing out all the steps needed for production ready operation of the web service. Furthermore, as there is no “rocket science” in-between, many proposals to bridge that gap from both sides, operations and developers start with sentences like: “you just have to…”, a clear indication that it will cause problems later on and also a symptom of a cultural gap between developers and operations staff.
In this talk I will go through the complete delivery pipeline from application development to the industrial grade operation, clearly biased towards the “DevOps” mindset. Instead of presenting a sophisticated enterprise solution, I will outline the necessary building blocks for continuous delivery and fill them up with simple but working poor man’s solutions, so that it is equally useful for professional and non-professional developers and operations engineers. After the talk you will know how to build such a continuous delivery pipeline with open-source tools like “Ansible”, “Devpi” and “Jenkins” and I will share some of my day-to-day experiences with automation in general. Although many of the concepts are language agnostic I will focus on the ins and outs in a python universe and outline the pythonic way of “get this thing running”.",Sebastian Neubauer
Tuesday 21 July,Argus - the omniscient CI,"cloudbase-init,continuous-integration,open-source,windows,Testing,argus,linux,OpenStack,devstack,cloud","Bring the continuous integration to a new level, through a platform/project independent framework able to give you unittest-like reports. Argus is a scenario-based application written in Python, driven by custom recipes under configurable environments, that can be used for testing a wide variety of small and big projects, with the ability of querying live data from the in-test application.,Until now, it’s successfully used with ,cloudbase-init, (a robust cloud initialization service for instances) under OpenStack and not only, due to its extensiveness and the ability to mimic different infrastructures. More details can be found on the package page: https://github.com/PCManticore/argus-ci.,The goals of this talk are to show its generic scalability, how simple is to create such kind of recipes, the relationship between scenarios, introspection and tests and, but not last, the unlimited freedom of creating very custom aspects of these entities which lead to relevant and in-depth ready for analysis logs. There are no major prerequisites to understand it, just to be familiar with Python and optionally have a focus on cloud infrastructures.",Cosmin Poieana
Friday 24 July,Arrested Development - surviving the awkward adolescence of a microservices-based application,"services,distributed-systems,HTTP","The potential upside of microservices is significant and exciting. So much so that Yelp’s Transaction Platform committed from the start to an architecture of small, cooperative microservices. This talk explores the inevitable complications that arise for Python developers in as the services grow larger and stretch both their own architecture and the developers responsible for them. Come hear tales of terror (tight coupling! low test coverage!), stories which will warm your heart (agility! strong interfaces!), and everything in between as we follow the adventures of our plucky team.,The talk will be focused on the functional, cultural, and reliability challenges which occur as a microservices-based project evolves and expands over time. Particular attention will be paid to where these diverge from the utopian way microservices are often described, and to the particular difficulties faced by Python developers trying to implement such systems. My goal is to share with attendees some mistakes we’ve made, some successful methods for growing gracefully, and Python-specific tools/libraries which can help with these problems.,To enjoy this talk, you should be aware of the basic vocabulary and concepts of HTTP-based services. Any additional awareness of distributed systems (and their failure modes) will be helpful.",Scott Triglia
Thursday 23 July,Antipatterns for Diversity,"Best Practice,diversity,community,inclusion","Stop doing the same thing but expecting different results,As developers we put considerable effort into optimisation. We are always tinkering, trying to make things better, and striving to remove antipatterns from our code and our development processes. ,Yet for some reason we have not been as good at applying this spirit of optimisation to the problem of increasing diversity, even though most people these days agree that, like good tests, agile methodologies, and virtual environments, diversity is a “good thing”.,My position is that just as there is no single easy way to write good code there is no single easy way to increasing diversity. There are, however, several things that companies and organisations do which actually work against diversity. This talk will explore these antipatterns for diversity, including uncritical belief in meritocracy, lack of understanding of the realities of marginalisation, null processes, misunderstanding of “culture fit”, and an unwillingness to change, as well as some ways that teams, companies, and organisations might work to combat them.",Naomi Ceder
Tuesday 21 July,Web Scraping Best Practises,"scraping,scrapy","Python is a fantastic language for writing web scrapers. There is a large ecosystem of useful projects and a great developer community. However, it can be confusing once you go beyond the simpler scrapers typically covered in tutorials.,In this talk, we will explore some common real-world scraping tasks. You will learn best practises and get a deeper understanding of what tools and techniques can be used and how to deal with the most challenging of web scraping projects!,We will cover crawling and extracting data at different scales - from small websites to large focussed crawls. This will include an overview of automated extraction techniques. We’ll touch on common difficulties like rendering pages in browsers, proxy management, and crawl architecture.,Slides,:  ,https://speakerdeck.com/shaneaevans/web-scraping-best-practises",Shane Evans
Wednesday 22 July,Activity Map from space: supporting mine clearance with Python,"ipython,visualization,geodata,scipy,numpy","Removing UneXploded Ordnance (UXO) from minefields at the end of a conflict is a very time-consuming and expensive operation. Advanced satellite image processing can detect changes and activities on the ground and represent them on a map that can be used by operators to classify more dangerous zones and safer areas, potentially reducing the time spent on field surveys.,We exploit space-borne radar Earth images together with thematic data for mapping activities on the ground using numpy, scipy and gdal. The Activity Map generation process to be shown will be implemented using IPython Notebook.",Giuseppe Cammarota
Wednesday 22 July,"asyncio community, one year later","networking,aiohttp,python3,asyncio","The asyncio project was officially launched with the release of Python 3.4 in March 2014. The project was public before that under the name “tulip”. asyncio is just a core network library, it requires third party library to be usable for common protocols. One year later, asyncio has a strong community writing libraries on top of it.,The most advanced library is aiohttp which includes a complete HTTP client but also a HTTP server. There are also libraries to access asynchronously the file system, resolve names with DNS, have variables local to tasks, read-write locks, etc. There are clients for AMQP, Asterisk, ElasticSearch, IRC, XMPP (Jabber), etc. (and even an IRC server!). There are asynchronous drivers for all common databases, and even for some ORMs. As expected, there are tons of new web frameworks based on asyncio. It’s also possible to plug asyncio into Gtk, Qt, gevent, eventlet, gunicorn, tornado, etc.,I will also discuss use cases of asyncio in production and benchmarks. Spoiler: asyncio is not slow.,The asyncio library also evolved to become more usable: it has a better documentation, is easier to debug and has a few new functions. There is also a port to Python 2: trollius.",Victor Stinner
Thursday 23 July,"Architecture of a cloud hosting service using python technologies: django, ansible and celery","celery,ansible,hosting,cloud,django","The talk will show the architecture and inners of a cloud hosting service we are developing in the University of Cambridge based on python technologies, mainly django, ansible, and celery.,The users manage their hosts using a web panel, developed in django, with common options: ability to create a vhost, associate domain names to vhosts, install packages, recover from backups, make snapshots, etc. Interaction between the panel and the hosts are made using ansible playbooks launched asynchronously by celery tasks. The VM architecture has been designed to be VM platform agnostic and to provide disk replication and high availability.,The University of Cambridge central IT services (http://www.ucs.cam.ac.uk/) also provides other services to the rest of the university like domain name registration, authentication, authorisation, TLS certificates, etc. We link all these other services with the hosting service by using APIs while keeping a microservices architecture approach. Thus, enabling the use/link of other services  within the same hosting service web application. ",Abraham Martin
Tuesday 21 July,A Deep Look at Logging,"web,logging,BestPractices","Do you know what your application did last night? Python logging can help you.,This talk you will show you how to implement a systematic logging approach without boilerplate code and how to set up the Python logging module for different needs in production systems.  We will see how to  work with log files and other logging endpoints.  We will address the data protection concerns that come up when logging  from application with personal  information. We will also look at the performance implications of logging. We will then cover best practices - how to structure logging, what to include in a log message, and how to configure logging for different use cases.,We will use the Python standard logging module to implement logging.  This talk is useful to beginners with some experience.  An understanding of decorators is useful, but not required.  Some experience in web programming is a plus.",Stefan Baerisch
